,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
0,0.482,0.866,7,-4.534,1,0.0293,0.000368,0.116,0.247,0.372,147.994,audio_features,5gEni4dmBqme8fyPcyWYiK,spotify:track:5gEni4dmBqme8fyPcyWYiK,https://api.spotify.com/v1/tracks/5gEni4dmBqme8fyPcyWYiK,https://api.spotify.com/v1/audio-analysis/5gEni4dmBqme8fyPcyWYiK,187364,4,Kate's Not Here - Day Wave & Lawrence Rothman Remix,Lawrence Rothman,dreampop
1,0.543,0.498,9,-10.152,1,0.0678,0.692,0.432,0.078,0.815,113.392,audio_features,0l4cR2AZ18MktMd0BU3zwh,spotify:track:0l4cR2AZ18MktMd0BU3zwh,https://api.spotify.com/v1/tracks/0l4cR2AZ18MktMd0BU3zwh,https://api.spotify.com/v1/audio-analysis/0l4cR2AZ18MktMd0BU3zwh,241097,4,Tenderness,Jay Som,dreampop
2,0.644,0.756,7,-8.342,1,0.0273,0.567,0.158,0.151,0.802,120.03,audio_features,04DdNbTmZAgHfNP6FdY3Sa,spotify:track:04DdNbTmZAgHfNP6FdY3Sa,https://api.spotify.com/v1/tracks/04DdNbTmZAgHfNP6FdY3Sa,https://api.spotify.com/v1/audio-analysis/04DdNbTmZAgHfNP6FdY3Sa,264955,4,Plum,Widowspeak,dreampop
3,0.508,0.798,1,-5.412,0,0.0259,0.256,0.202,0.701,0.481,153.95,audio_features,22gjW0ccBALzqASrryR7Dw,spotify:track:22gjW0ccBALzqASrryR7Dw,https://api.spotify.com/v1/tracks/22gjW0ccBALzqASrryR7Dw,https://api.spotify.com/v1/audio-analysis/22gjW0ccBALzqASrryR7Dw,213481,4,Opportunity,Kevin Krauter,dreampop
4,0.562,0.724,2,-6.787,1,0.0622,0.203,0.00115,0.129,0.464,139.997,audio_features,4kDqNIQiBwkqDs6jWWcHAM,spotify:track:4kDqNIQiBwkqDs6jWWcHAM,https://api.spotify.com/v1/tracks/4kDqNIQiBwkqDs6jWWcHAM,https://api.spotify.com/v1/audio-analysis/4kDqNIQiBwkqDs6jWWcHAM,166453,4,What Does It Mean To Me?,Oberhofer,dreampop
5,0.616,0.529,0,-7.888,1,0.0258,0.574,0.587,0.0942,0.284,119.99,audio_features,4tHWZg3t5LpOkdRd53gal2,spotify:track:4tHWZg3t5LpOkdRd53gal2,https://api.spotify.com/v1/tracks/4tHWZg3t5LpOkdRd53gal2,https://api.spotify.com/v1/audio-analysis/4tHWZg3t5LpOkdRd53gal2,173259,4,Stay And Rest For A While,Good Dog,dreampop
6,0.469,0.866,4,-5.372,1,0.0321,0.0371,0.921,0.183,0.56,131.0,audio_features,716OZGLBg3vkNfMTpfbYm6,spotify:track:716OZGLBg3vkNfMTpfbYm6,https://api.spotify.com/v1/tracks/716OZGLBg3vkNfMTpfbYm6,https://api.spotify.com/v1/audio-analysis/716OZGLBg3vkNfMTpfbYm6,320328,4,Days,No Vacation,dreampop
7,0.662,0.69,2,-6.326,1,0.0651,0.0135,0.111,0.104,0.755,149.957,audio_features,1wgouwqKDYxxZUj9jHZCBu,spotify:track:1wgouwqKDYxxZUj9jHZCBu,https://api.spotify.com/v1/tracks/1wgouwqKDYxxZUj9jHZCBu,https://api.spotify.com/v1/audio-analysis/1wgouwqKDYxxZUj9jHZCBu,331664,4,Somebody Else,Pynch,dreampop
8,0.291,0.8,0,-8.02,1,0.0422,0.0772,0.00177,0.0953,0.499,174.713,audio_features,3BAZa1WlbTZoWPoKcJRtE2,spotify:track:3BAZa1WlbTZoWPoKcJRtE2,https://api.spotify.com/v1/tracks/3BAZa1WlbTZoWPoKcJRtE2,https://api.spotify.com/v1/audio-analysis/3BAZa1WlbTZoWPoKcJRtE2,126771,3,Point of View,Sonoda,dreampop
9,0.595,0.748,7,-5.744,1,0.0325,0.000419,0.000329,0.178,0.456,130.034,audio_features,2fjE9A6haImVXETd1B4PDs,spotify:track:2fjE9A6haImVXETd1B4PDs,https://api.spotify.com/v1/tracks/2fjE9A6haImVXETd1B4PDs,https://api.spotify.com/v1/audio-analysis/2fjE9A6haImVXETd1B4PDs,174388,4,summer bruises,april june,dreampop
10,0.341,0.721,9,-6.614,0,0.034,0.00593,0.0272,0.79,0.623,115.014,audio_features,5lJDgnn9Wq06dBoEdMyXuz,spotify:track:5lJDgnn9Wq06dBoEdMyXuz,https://api.spotify.com/v1/tracks/5lJDgnn9Wq06dBoEdMyXuz,https://api.spotify.com/v1/audio-analysis/5lJDgnn9Wq06dBoEdMyXuz,220404,4,Showers,Bored at My Grandmas House,dreampop
11,0.481,0.723,4,-7.504,1,0.027,0.0778,0.0632,0.442,0.614,145.027,audio_features,5tOH5FgEC8CS2ukdSwwy93,spotify:track:5tOH5FgEC8CS2ukdSwwy93,https://api.spotify.com/v1/tracks/5tOH5FgEC8CS2ukdSwwy93,https://api.spotify.com/v1/audio-analysis/5tOH5FgEC8CS2ukdSwwy93,182000,4,Diamond Brand,Terry vs. Tori,dreampop
12,0.693,0.528,1,-8.468,1,0.0259,0.699,0.846,0.114,0.597,107.949,audio_features,1gyIYA98zceKTnjISviYRz,spotify:track:1gyIYA98zceKTnjISviYRz,https://api.spotify.com/v1/tracks/1gyIYA98zceKTnjISviYRz,https://api.spotify.com/v1/audio-analysis/1gyIYA98zceKTnjISviYRz,191528,4,Radio,Freak Slug,dreampop
13,0.591,0.732,10,-8.522,1,0.0329,0.435,0.924,0.148,0.712,117.981,audio_features,5EdpixfJpL4XF4tB8fSYn7,spotify:track:5EdpixfJpL4XF4tB8fSYn7,https://api.spotify.com/v1/tracks/5EdpixfJpL4XF4tB8fSYn7,https://api.spotify.com/v1/audio-analysis/5EdpixfJpL4XF4tB8fSYn7,218450,4,Cassette,Swiss Portrait,dreampop
14,0.444,0.932,6,-3.634,1,0.0359,0.00858,0.453,0.0511,0.896,99.999,audio_features,4yc69QtlnLzjcYSMPOtrEo,spotify:track:4yc69QtlnLzjcYSMPOtrEo,https://api.spotify.com/v1/tracks/4yc69QtlnLzjcYSMPOtrEo,https://api.spotify.com/v1/audio-analysis/4yc69QtlnLzjcYSMPOtrEo,222357,4,Last Day On Earth,beabadoobee,dreampop
15,0.506,0.56,11,-7.39,0,0.0238,0.18,0.442,0.119,0.427,86.976,audio_features,4KE91Xg3FL51yMhnpSqRvE,spotify:track:4KE91Xg3FL51yMhnpSqRvE,https://api.spotify.com/v1/tracks/4KE91Xg3FL51yMhnpSqRvE,https://api.spotify.com/v1/audio-analysis/4KE91Xg3FL51yMhnpSqRvE,225618,4,You and Me,Nature TV,dreampop
16,0.614,0.571,8,-7.089,1,0.031,0.602,0.00553,0.105,0.39,115.975,audio_features,1zeHdhh4mHP08aGMCMCyPM,spotify:track:1zeHdhh4mHP08aGMCMCyPM,https://api.spotify.com/v1/tracks/1zeHdhh4mHP08aGMCMCyPM,https://api.spotify.com/v1/audio-analysis/1zeHdhh4mHP08aGMCMCyPM,217149,4,High,Cafuné,dreampop
17,0.801,0.294,4,-15.16,1,0.0351,0.697,0.88,0.106,0.579,101.995,audio_features,2ngVZZGrIYAxyxaA2QcWTB,spotify:track:2ngVZZGrIYAxyxaA2QcWTB,https://api.spotify.com/v1/tracks/2ngVZZGrIYAxyxaA2QcWTB,https://api.spotify.com/v1/audio-analysis/2ngVZZGrIYAxyxaA2QcWTB,212890,4,Porcelain,Men I Trust,dreampop
18,0.541,0.491,5,-8.747,0,0.0263,0.477,0.000816,0.102,0.274,76.99,audio_features,4NnNGFTcMv5OK1LvIA2Wgw,spotify:track:4NnNGFTcMv5OK1LvIA2Wgw,https://api.spotify.com/v1/tracks/4NnNGFTcMv5OK1LvIA2Wgw,https://api.spotify.com/v1/audio-analysis/4NnNGFTcMv5OK1LvIA2Wgw,202922,4,80's High School,CASTLEBEAT,dreampop
19,0.569,0.802,11,-7.873,0,0.029,0.243,0.0061,0.311,0.806,134.981,audio_features,07iFZgCmzSuGFlKG3ftJX3,spotify:track:07iFZgCmzSuGFlKG3ftJX3,https://api.spotify.com/v1/tracks/07iFZgCmzSuGFlKG3ftJX3,https://api.spotify.com/v1/audio-analysis/07iFZgCmzSuGFlKG3ftJX3,225141,4,Skin,Bored at My Grandmas House,dreampop
20,0.665,0.35,2,-9.426,1,0.028,0.508,0.83,0.109,0.467,87.061,audio_features,476QHG5G8xxNI9VHTBFfjp,spotify:track:476QHG5G8xxNI9VHTBFfjp,https://api.spotify.com/v1/tracks/476QHG5G8xxNI9VHTBFfjp,https://api.spotify.com/v1/audio-analysis/476QHG5G8xxNI9VHTBFfjp,126120,4,Ghostride,Crumb,dreampop
21,0.475,0.43,2,-10.652,1,0.0252,0.446,0.322,0.126,0.058,77.951,audio_features,1W91GlNLLC6y0xXg1RLtie,spotify:track:1W91GlNLLC6y0xXg1RLtie,https://api.spotify.com/v1/tracks/1W91GlNLLC6y0xXg1RLtie,https://api.spotify.com/v1/audio-analysis/1W91GlNLLC6y0xXg1RLtie,182000,4,Alone,Sugar High,dreampop
22,0.577,0.766,2,-9.737,1,0.0335,0.319,0.823,0.102,0.629,130.015,audio_features,288NER7JJhr8AbhGbUCCSL,spotify:track:288NER7JJhr8AbhGbUCCSL,https://api.spotify.com/v1/tracks/288NER7JJhr8AbhGbUCCSL,https://api.spotify.com/v1/audio-analysis/288NER7JJhr8AbhGbUCCSL,242944,4,Is This Where It Ends,Nabihah Iqbal,dreampop
23,0.5,0.794,3,-7.579,1,0.029,0.00478,0.00582,0.0926,0.257,90.007,audio_features,0RXXhrHZgLinM2Tb8k2ROk,spotify:track:0RXXhrHZgLinM2Tb8k2ROk,https://api.spotify.com/v1/tracks/0RXXhrHZgLinM2Tb8k2ROk,https://api.spotify.com/v1/audio-analysis/0RXXhrHZgLinM2Tb8k2ROk,263801,4,Back Into Your Arms,RINSE,dreampop
24,0.534,0.504,4,-13.011,0,0.0288,0.658,0.814,0.122,0.146,99.965,audio_features,0zxaeEmN9uxdvx7mrnmZAJ,spotify:track:0zxaeEmN9uxdvx7mrnmZAJ,https://api.spotify.com/v1/tracks/0zxaeEmN9uxdvx7mrnmZAJ,https://api.spotify.com/v1/audio-analysis/0zxaeEmN9uxdvx7mrnmZAJ,286821,4,Self Aware,Patricia Lalor,dreampop
