,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
0,0.64,0.329,11,-10.844,0,0.0323,0.896,0.000536,0.113,0.295,80.687,audio_features,7AYoXqCtME90flUOpBJM7i,spotify:track:7AYoXqCtME90flUOpBJM7i,https://api.spotify.com/v1/tracks/7AYoXqCtME90flUOpBJM7i,https://api.spotify.com/v1/audio-analysis/7AYoXqCtME90flUOpBJM7i,236307,4,Society,Eddie Vedder,acoustic
1,0.503,0.294,8,-11.439,0,0.1,0.891,0.0,0.0983,0.0974,81.68,audio_features,3KnQSveB0TCz2Lu3TaJWMJ,spotify:track:3KnQSveB0TCz2Lu3TaJWMJ,https://api.spotify.com/v1/tracks/3KnQSveB0TCz2Lu3TaJWMJ,https://api.spotify.com/v1/audio-analysis/3KnQSveB0TCz2Lu3TaJWMJ,225427,4,Walking on a Dream,Kate Miller-Heidke,acoustic
2,0.716,0.296,7,-12.145,1,0.036,0.491,1.12e-05,0.113,0.542,115.909,audio_features,5d8L73s2DVUlIi4KENcxeO,spotify:track:5d8L73s2DVUlIi4KENcxeO,https://api.spotify.com/v1/tracks/5d8L73s2DVUlIi4KENcxeO,https://api.spotify.com/v1/audio-analysis/5d8L73s2DVUlIi4KENcxeO,252227,4,More Than This,Charlie Hunter,acoustic
3,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,audio_features,2dLLR6qlu5UJ5gk0dKz0h3,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,190185,4,Royals,Lorde,acoustic
4,0.64,0.394,5,-7.258,1,0.0263,0.695,0.0,0.0741,0.425,89.963,audio_features,0vWjNkwgkTnyzfeLdTKWJ7,spotify:track:0vWjNkwgkTnyzfeLdTKWJ7,https://api.spotify.com/v1/tracks/0vWjNkwgkTnyzfeLdTKWJ7,https://api.spotify.com/v1/audio-analysis/0vWjNkwgkTnyzfeLdTKWJ7,196362,4,Roar,Alex Goot,acoustic
5,0.574,0.288,9,-9.146,1,0.0292,0.786,0.0,0.103,0.478,142.83,audio_features,6ILLewvivHQSpOX3N3jbBM,spotify:track:6ILLewvivHQSpOX3N3jbBM,https://api.spotify.com/v1/tracks/6ILLewvivHQSpOX3N3jbBM,https://api.spotify.com/v1/audio-analysis/6ILLewvivHQSpOX3N3jbBM,183880,4,Trying to Recall,Marie Lindberg,acoustic
6,0.816,0.794,7,-6.095,1,0.0486,0.00644,0.00668,0.0791,0.786,94.023,audio_features,3fCJRE4P1uU8dcqEW5mnM6,spotify:track:3fCJRE4P1uU8dcqEW5mnM6,https://api.spotify.com/v1/tracks/3fCJRE4P1uU8dcqEW5mnM6,https://api.spotify.com/v1/audio-analysis/3fCJRE4P1uU8dcqEW5mnM6,196147,4,Staple It Together,Jack Johnson,acoustic
7,0.324,0.398,6,-9.811,0,0.0352,0.212,3e-05,0.692,0.299,113.165,audio_features,14rApQTKycs9gNg7hjm9m7,spotify:track:14rApQTKycs9gNg7hjm9m7,https://api.spotify.com/v1/tracks/14rApQTKycs9gNg7hjm9m7,https://api.spotify.com/v1/audio-analysis/14rApQTKycs9gNg7hjm9m7,253107,4,White Blank Page,Mumford & Sons,acoustic
8,0.829,0.659,8,-6.958,0,0.0639,0.161,0.0,0.0769,0.962,110.024,audio_features,6Pw4WKCH1bfULx3vrxYMwe,spotify:track:6Pw4WKCH1bfULx3vrxYMwe,https://api.spotify.com/v1/tracks/6Pw4WKCH1bfULx3vrxYMwe,https://api.spotify.com/v1/audio-analysis/6Pw4WKCH1bfULx3vrxYMwe,232246,4,Moves Like Jagger,Tyler Ward,acoustic
9,0.637,0.416,2,-7.595,1,0.0269,0.434,0.0,0.139,0.588,145.924,audio_features,7LSAtbMWcyKWjIrFOroPhz,spotify:track:7LSAtbMWcyKWjIrFOroPhz,https://api.spotify.com/v1/tracks/7LSAtbMWcyKWjIrFOroPhz,https://api.spotify.com/v1/audio-analysis/7LSAtbMWcyKWjIrFOroPhz,226760,4,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),Glee Cast,acoustic
10,0.433,0.256,4,-14.628,1,0.047,0.712,0.845,0.115,0.609,126.0,audio_features,43XA2gfgLQGKfIumzQZNCF,spotify:track:43XA2gfgLQGKfIumzQZNCF,https://api.spotify.com/v1/tracks/43XA2gfgLQGKfIumzQZNCF,https://api.spotify.com/v1/audio-analysis/43XA2gfgLQGKfIumzQZNCF,207453,4,Art of Motion,Andy McKee,acoustic
11,0.706,0.575,7,-5.922,1,0.0999,0.681,0.0,0.705,0.866,107.302,audio_features,0gw9t8io80CCz8XuH440PC,spotify:track:0gw9t8io80CCz8XuH440PC,https://api.spotify.com/v1/tracks/0gw9t8io80CCz8XuH440PC,https://api.spotify.com/v1/audio-analysis/0gw9t8io80CCz8XuH440PC,281653,4,How We Do (Party) - Live from Spotify NYC,Rita Ora,acoustic
12,0.419,0.358,5,-10.749,1,0.033,0.458,0.0479,0.168,0.226,128.764,audio_features,0Qw7qGuXlVBZLcfoQ17yZn,spotify:track:0Qw7qGuXlVBZLcfoQ17yZn,https://api.spotify.com/v1/tracks/0Qw7qGuXlVBZLcfoQ17yZn,https://api.spotify.com/v1/audio-analysis/0Qw7qGuXlVBZLcfoQ17yZn,328507,4,Old Pine,Ben Howard,acoustic
13,0.839,0.499,7,-8.968,0,0.0475,0.0369,0.0,0.0191,0.696,110.007,audio_features,5fWs7Uoh9l3JpFe488y1tj,spotify:track:5fWs7Uoh9l3JpFe488y1tj,https://api.spotify.com/v1/tracks/5fWs7Uoh9l3JpFe488y1tj,https://api.spotify.com/v1/audio-analysis/5fWs7Uoh9l3JpFe488y1tj,216107,4,I Follow Rivers,Triggerfinger,acoustic
14,0.261,0.458,6,-6.895,1,0.0307,0.674,0.00152,0.0854,0.388,198.695,audio_features,1PUh1GENlvlgu0dW28I6tY,spotify:track:1PUh1GENlvlgu0dW28I6tY,https://api.spotify.com/v1/tracks/1PUh1GENlvlgu0dW28I6tY,https://api.spotify.com/v1/audio-analysis/1PUh1GENlvlgu0dW28I6tY,345013,3,"Hello, I'm In Delaware",City and Colour,acoustic
15,0.661,0.373,2,-8.169,1,0.0281,0.84,0.0,0.106,0.304,103.999,audio_features,7z7fquRFQFXt4Dj7ouWETq,spotify:track:7z7fquRFQFXt4Dj7ouWETq,https://api.spotify.com/v1/tracks/7z7fquRFQFXt4Dj7ouWETq,https://api.spotify.com/v1/audio-analysis/7z7fquRFQFXt4Dj7ouWETq,233627,4,Hey There Delilah,Plain White T's,acoustic
16,0.366,0.269,0,-8.456,1,0.0287,0.829,1.67e-05,0.108,0.492,86.577,audio_features,0VZ9xPNa6ROafP6GYYuv2S,spotify:track:0VZ9xPNa6ROafP6GYYuv2S,https://api.spotify.com/v1/tracks/0VZ9xPNa6ROafP6GYYuv2S,https://api.spotify.com/v1/audio-analysis/0VZ9xPNa6ROafP6GYYuv2S,205453,4,Marry Me,Train,acoustic
17,0.54,0.369,0,-6.934,1,0.0303,0.797,0.0,0.11,0.249,127.732,audio_features,3gSvJ7SBbRVyJWuw7gWWc8,spotify:track:3gSvJ7SBbRVyJWuw7gWWc8,https://api.spotify.com/v1/tracks/3gSvJ7SBbRVyJWuw7gWWc8,https://api.spotify.com/v1/audio-analysis/3gSvJ7SBbRVyJWuw7gWWc8,199923,4,Two Is Better Than One,Tyler Ward,acoustic
18,0.412,0.749,2,-4.657,1,0.0404,0.0286,0.0,0.0726,0.264,136.019,audio_features,37928J06bQreiIuhZvRlWQ,spotify:track:37928J06bQreiIuhZvRlWQ,https://api.spotify.com/v1/tracks/37928J06bQreiIuhZvRlWQ,https://api.spotify.com/v1/audio-analysis/37928J06bQreiIuhZvRlWQ,263867,4,When the Lights Die,Boyce Avenue,acoustic
19,0.773,0.394,0,-9.252,1,0.0516,0.627,1.36e-05,0.0953,0.443,74.977,audio_features,3cnRYoW4nYzIuVPCp7k5iG,spotify:track:3cnRYoW4nYzIuVPCp7k5iG,https://api.spotify.com/v1/tracks/3cnRYoW4nYzIuVPCp7k5iG,https://api.spotify.com/v1/audio-analysis/3cnRYoW4nYzIuVPCp7k5iG,212707,4,Breakdown,Jack Johnson,acoustic
20,0.608,0.639,7,-7.205,1,0.0246,0.0208,5.94e-05,0.0893,0.369,96.915,audio_features,1c7UYTut2SBOPq64o2t0uN,spotify:track:1c7UYTut2SBOPq64o2t0uN,https://api.spotify.com/v1/tracks/1c7UYTut2SBOPq64o2t0uN,https://api.spotify.com/v1/audio-analysis/1c7UYTut2SBOPq64o2t0uN,268973,4,Why Georgia,John Mayer,acoustic
21,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,audio_features,5fVZC9GiM4e8vu99W0Xf6J,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/audio-analysis/5fVZC9GiM4e8vu99W0Xf6J,262533,4,How to Save a Life,The Fray,acoustic
22,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667,audio_features,6vrUTGn5p8IrfTZ0J6sIVM,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/tracks/6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/audio-analysis/6vrUTGn5p8IrfTZ0J6sIVM,289907,3,Iris,The Goo Goo Dolls,acoustic
23,0.416,0.334,5,-10.241,1,0.0317,0.757,0.00452,0.682,0.3,145.929,audio_features,1w3ybWVQiP47fu00GRlFHb,spotify:track:1w3ybWVQiP47fu00GRlFHb,https://api.spotify.com/v1/tracks/1w3ybWVQiP47fu00GRlFHb,https://api.spotify.com/v1/audio-analysis/1w3ybWVQiP47fu00GRlFHb,337480,4,Old Pine - Spotify - Rockfeedback Session,Ben Howard,acoustic
24,0.758,0.677,3,-8.509,1,0.0312,0.249,0.0,0.275,0.896,127.992,audio_features,0ah31D7zhHwnSLZuvwviy2,spotify:track:0ah31D7zhHwnSLZuvwviy2,https://api.spotify.com/v1/tracks/0ah31D7zhHwnSLZuvwviy2,https://api.spotify.com/v1/audio-analysis/0ah31D7zhHwnSLZuvwviy2,181738,4,Pumped Up Kicks,Tyler Ward,acoustic
25,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,audio_features,38YgZVHPWOWsKrsCXz6JyP,spotify:track:38YgZVHPWOWsKrsCXz6JyP,https://api.spotify.com/v1/tracks/38YgZVHPWOWsKrsCXz6JyP,https://api.spotify.com/v1/audio-analysis/38YgZVHPWOWsKrsCXz6JyP,215173,4,Come On Get Higher,Matt Nathanson,acoustic
26,0.485,0.723,10,-6.565,1,0.0317,0.541,1.12e-06,0.075,0.541,167.845,audio_features,6wZI4mdT8JwXgkGURnBQiq,spotify:track:6wZI4mdT8JwXgkGURnBQiq,https://api.spotify.com/v1/tracks/6wZI4mdT8JwXgkGURnBQiq,https://api.spotify.com/v1/audio-analysis/6wZI4mdT8JwXgkGURnBQiq,230213,4,Say,John Mayer,acoustic
27,0.709,0.478,9,-10.87,0,0.0365,0.205,0.00799,0.099,0.58,174.058,audio_features,0QAHRzFbCz3S4EyFPdNrQq,spotify:track:0QAHRzFbCz3S4EyFPdNrQq,https://api.spotify.com/v1/tracks/0QAHRzFbCz3S4EyFPdNrQq,https://api.spotify.com/v1/audio-analysis/0QAHRzFbCz3S4EyFPdNrQq,241427,4,Strawberry Fields Forever (feat. Los Panchos),Karen Souza,acoustic
28,0.629,0.534,6,-9.054,0,0.0267,0.437,3.33e-06,0.328,0.649,124.964,audio_features,1Er5JMNcguoBMFXxwZ7BWH,spotify:track:1Er5JMNcguoBMFXxwZ7BWH,https://api.spotify.com/v1/tracks/1Er5JMNcguoBMFXxwZ7BWH,https://api.spotify.com/v1/audio-analysis/1Er5JMNcguoBMFXxwZ7BWH,147027,4,White Winter Hymnal,Fleet Foxes,acoustic
29,0.599,0.381,3,-9.39,1,0.0433,0.589,0.0,0.0883,0.367,80.797,audio_features,7f1722l0jzzDTwDD6PfvDh,spotify:track:7f1722l0jzzDTwDD6PfvDh,https://api.spotify.com/v1/tracks/7f1722l0jzzDTwDD6PfvDh,https://api.spotify.com/v1/audio-analysis/7f1722l0jzzDTwDD6PfvDh,259680,4,Drops Of Jupiter,Boyce Avenue,acoustic
30,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,audio_features,6Vc5wAMmXdKIAM7WUoEb7N,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N,229400,3,Say Something,A Great Big World,acoustic
31,0.467,0.839,0,-5.382,1,0.0535,0.494,0.00149,0.759,0.312,79.764,audio_features,2FUr8LFers7XUWz5pdteGY,spotify:track:2FUr8LFers7XUWz5pdteGY,https://api.spotify.com/v1/tracks/2FUr8LFers7XUWz5pdteGY,https://api.spotify.com/v1/audio-analysis/2FUr8LFers7XUWz5pdteGY,267560,4,"Drops of Jupiter - Live at the Workplay Theatre, Birmingham, AL - June 2004",Train,acoustic
32,0.669,0.389,0,-11.547,1,0.0306,0.605,0.16,0.0905,0.649,130.015,audio_features,5oUV6yWdDM0R9Q2CizRhIt,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt,https://api.spotify.com/v1/audio-analysis/5oUV6yWdDM0R9Q2CizRhIt,231173,4,New Slang,The Shins,acoustic
33,0.541,0.302,6,-12.793,0,0.0282,0.78,0.0262,0.114,0.344,101.016,audio_features,1uXHWnZ85lhAf19DRzU3Oz,spotify:track:1uXHWnZ85lhAf19DRzU3Oz,https://api.spotify.com/v1/tracks/1uXHWnZ85lhAf19DRzU3Oz,https://api.spotify.com/v1/audio-analysis/1uXHWnZ85lhAf19DRzU3Oz,231480,4,Walking Aimlessly,Anna Ternheim,acoustic
34,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,audio_features,1KqlVt63Q4bl1VdSlymr5C,spotify:track:1KqlVt63Q4bl1VdSlymr5C,https://api.spotify.com/v1/tracks/1KqlVt63Q4bl1VdSlymr5C,https://api.spotify.com/v1/audio-analysis/1KqlVt63Q4bl1VdSlymr5C,204280,4,Riptide,Vance Joy,acoustic
35,0.596,0.572,0,-12.528,1,0.085,0.0233,0.0,0.341,0.602,119.317,audio_features,62nxDx2RXkzCr9nU83nJJ4,spotify:track:62nxDx2RXkzCr9nU83nJJ4,https://api.spotify.com/v1/tracks/62nxDx2RXkzCr9nU83nJJ4,https://api.spotify.com/v1/audio-analysis/62nxDx2RXkzCr9nU83nJJ4,248000,4,"Redemption Song - Live At The Stanley Theatre, 9/23/1980",Bob Marley & The Wailers,acoustic
36,0.49,0.193,11,-9.544,1,0.0421,0.862,9.74e-06,0.113,0.184,89.154,audio_features,2bbhyUWJ5VjdfI3P4PRLu2,spotify:track:2bbhyUWJ5VjdfI3P4PRLu2,https://api.spotify.com/v1/tracks/2bbhyUWJ5VjdfI3P4PRLu2,https://api.spotify.com/v1/audio-analysis/2bbhyUWJ5VjdfI3P4PRLu2,189507,4,Samson,Regina Spektor,acoustic
37,0.93,0.854,6,-6.138,1,0.228,0.496,5.23e-05,0.0675,0.767,128.087,audio_features,4eiWWDbWczW2GLqg6Lyg48,spotify:track:4eiWWDbWczW2GLqg6Lyg48,https://api.spotify.com/v1/tracks/4eiWWDbWczW2GLqg6Lyg48,https://api.spotify.com/v1/audio-analysis/4eiWWDbWczW2GLqg6Lyg48,130500,4,Cups,Lulu & The Lampshades,acoustic
38,0.681,0.258,11,-14.104,1,0.106,0.537,4.91e-06,0.0826,0.43,96.885,audio_features,6mM3zAPOuNkNDytJCDGz96,spotify:track:6mM3zAPOuNkNDytJCDGz96,https://api.spotify.com/v1/tracks/6mM3zAPOuNkNDytJCDGz96,https://api.spotify.com/v1/audio-analysis/6mM3zAPOuNkNDytJCDGz96,226307,4,Naïve - BBC Radio 1's Jo Whiley's Live Lounge,Lily Allen,acoustic
39,0.781,0.737,11,-5.337,1,0.213,0.6,0.0,0.34,0.741,93.077,audio_features,2izoqbHZCGaoFOO8vcc1hK,spotify:track:2izoqbHZCGaoFOO8vcc1hK,https://api.spotify.com/v1/tracks/2izoqbHZCGaoFOO8vcc1hK,https://api.spotify.com/v1/audio-analysis/2izoqbHZCGaoFOO8vcc1hK,182742,4,Boyfriend,Alex G,acoustic
40,0.694,0.237,5,-16.391,1,0.0413,0.938,0.296,0.109,0.331,136.866,audio_features,4BhEQsifqbzCdknLf52O1G,spotify:track:4BhEQsifqbzCdknLf52O1G,https://api.spotify.com/v1/tracks/4BhEQsifqbzCdknLf52O1G,https://api.spotify.com/v1/audio-analysis/4BhEQsifqbzCdknLf52O1G,209267,4,Young Bodies,Sea Wolf,acoustic
41,0.655,0.66,0,-6.544,1,0.0274,0.227,0.0,0.0549,0.45,116.959,audio_features,3xEP8kzYIjbkUrjfsgn8Hh,spotify:track:3xEP8kzYIjbkUrjfsgn8Hh,https://api.spotify.com/v1/tracks/3xEP8kzYIjbkUrjfsgn8Hh,https://api.spotify.com/v1/audio-analysis/3xEP8kzYIjbkUrjfsgn8Hh,248920,4,Common Denominator - iTunes Bonus,Justin Bieber,acoustic
42,0.348,0.564,2,-4.412,1,0.0306,0.497,2.54e-06,0.114,0.174,83.853,audio_features,3U9FMzSjrXFS0AnElgcw0j,spotify:track:3U9FMzSjrXFS0AnElgcw0j,https://api.spotify.com/v1/tracks/3U9FMzSjrXFS0AnElgcw0j,https://api.spotify.com/v1/audio-analysis/3U9FMzSjrXFS0AnElgcw0j,231853,4,On My Way,Boyce Avenue,acoustic
43,0.697,0.474,9,-6.663,1,0.0351,0.603,0.0,0.11,0.249,127.904,audio_features,0rFOs9paloAvEtzwDX1Kmc,spotify:track:0rFOs9paloAvEtzwDX1Kmc,https://api.spotify.com/v1/tracks/0rFOs9paloAvEtzwDX1Kmc,https://api.spotify.com/v1/audio-analysis/0rFOs9paloAvEtzwDX1Kmc,196280,4,Bubbly,Colbie Caillat,acoustic
44,0.312,0.812,4,-6.162,1,0.0566,0.0137,0.000405,0.96,0.184,134.414,audio_features,5oCMnpuRd3rUL9clNWbjr0,spotify:track:5oCMnpuRd3rUL9clNWbjr0,https://api.spotify.com/v1/tracks/5oCMnpuRd3rUL9clNWbjr0,https://api.spotify.com/v1/audio-analysis/5oCMnpuRd3rUL9clNWbjr0,291080,4,My Hero - Live,Foo Fighters,acoustic
45,0.387,0.442,0,-7.086,1,0.0352,0.19,0.0,0.0788,0.382,169.481,audio_features,7lWF2mVr1KKbVnaT2nSlPo,spotify:track:7lWF2mVr1KKbVnaT2nSlPo,https://api.spotify.com/v1/tracks/7lWF2mVr1KKbVnaT2nSlPo,https://api.spotify.com/v1/audio-analysis/7lWF2mVr1KKbVnaT2nSlPo,185600,4,Fall For You,Secondhand Serenade,acoustic
46,0.577,0.747,10,-4.675,0,0.052,0.133,0.0,0.141,0.502,94.954,audio_features,4gwDrsXJPXfCAYFbpUjeCW,spotify:track:4gwDrsXJPXfCAYFbpUjeCW,https://api.spotify.com/v1/tracks/4gwDrsXJPXfCAYFbpUjeCW,https://api.spotify.com/v1/audio-analysis/4gwDrsXJPXfCAYFbpUjeCW,222333,4,Heartless,Kris Allen,acoustic
47,0.304,0.415,5,-10.132,1,0.0303,0.112,0.0,0.107,0.186,50.593,audio_features,70zapGEw5KQiHBhjNcGjzo,spotify:track:70zapGEw5KQiHBhjNcGjzo,https://api.spotify.com/v1/tracks/70zapGEw5KQiHBhjNcGjzo,https://api.spotify.com/v1/audio-analysis/70zapGEw5KQiHBhjNcGjzo,281680,4,Little Hell,City and Colour,acoustic
